trkpt - lon,trkpt - lat,trkpt - ele,trkpt - time,time,Day
-58.47451,-34.57367,2.9981604,2015-10-24T11:10:08.000-03:00,11:10:08:108,2015-10-24
-58.47458,-34.5736,3.5801852,2015-10-24T11:10:12.057-03:00,11:10:12:1012,2015-10-24
-58.47458,-34.5736,3.5801852,2015-10-24T11:10:16.114-03:00,11:10:16:1016,2015-10-24
-58.474655,-34.57352,4.2235975,2015-10-24T11:10:20.171-03:00,11:10:20:1020,2015-10-24
-58.474735,-34.57343,4.9463506,2015-10-24T11:10:24.229-03:00,11:10:24:1024,2015-10-24
-58.474804,-34.57335,5.5781803,2015-10-24T11:10:28.286-03:00,11:10:28:1028,2015-10-24
-58.47487,-34.573257,6.274873,2015-10-24T11:10:32.343-03:00,11:10:32:1032,2015-10-24
-58.474922,-34.57317,6.9090195,2015-10-24T11:10:36.400-03:00,11:10:36:1036,2015-10-24
-58.475,-34.5731,7.488148,2015-10-24T11:10:40.458-03:00,11:10:40:1040,2015-10-24
-58.475117,-34.57311,8.129245,2015-10-24T11:10:44.515-03:00,11:10:44:1044,2015-10-24
-58.475216,-34.57316,8.852465,2015-10-24T11:10:48.572-03:00,11:10:48:1048,2015-10-24
-58.475346,-34.573193,10.058145,2015-10-24T11:10:52.630-03:00,11:10:52:1052,2015-10-24
-58.47546,-34.57323,11.291058,2015-10-24T11:10:56.687-03:00,11:10:56:1056,2015-10-24
-58.475555,-34.573288,12.150997,2015-10-24T11:11:00.744-03:00,11:11:00:110,2015-10-24
-58.475655,-34.573334,12.840523,2015-10-24T11:11:04.801-03:00,11:11:04:114,2015-10-24
-58.475773,-34.57337,13.784528,2015-10-24T11:11:08.859-03:00,11:11:08:118,2015-10-24
-58.475853,-34.573444,15.224434,2015-10-24T11:11:12.916-03:00,11:11:12:1112,2015-10-24
-58.475845,-34.573544,16.826557,2015-10-24T11:11:16.973-03:00,11:11:16:1116,2015-10-24
-58.475792,-34.57365,18.17375,2015-10-24T11:11:21.031-03:00,11:11:21:1121,2015-10-24
-58.475735,-34.57374,19.242287,2015-10-24T11:11:25.088-03:00,11:11:25:1125,2015-10-24
-58.47564,-34.57382,20.214657,2015-10-24T11:11:29.145-03:00,11:11:29:1129,2015-10-24
-58.475544,-34.573887,21.15337,2015-10-24T11:11:33.202-03:00,11:11:33:1133,2015-10-24
-58.475468,-34.573963,21.858557,2015-10-24T11:11:37.260-03:00,11:11:37:1137,2015-10-24
-58.475395,-34.57405,21.983194,2015-10-24T11:11:41.317-03:00,11:11:41:1141,2015-10-24
-58.475334,-34.57414,21.301535,2015-10-24T11:11:45.374-03:00,11:11:45:1145,2015-10-24
-58.475224,-34.574154,20.681625,2015-10-24T11:11:49.432-03:00,11:11:49:1149,2015-10-24
-58.47512,-34.574112,20.05082,2015-10-24T11:11:53.489-03:00,11:11:53:1153,2015-10-24
-58.475,-34.574055,19.262009,2015-10-24T11:11:57.546-03:00,11:11:57:1157,2015-10-24
-58.474876,-34.574013,18.537973,2015-10-24T11:12:01.603-03:00,11:12:01:121,2015-10-24
-58.47477,-34.573956,17.823019,2015-10-24T11:12:05.661-03:00,11:12:05:125,2015-10-24
-58.47465,-34.573895,17.043287,2015-10-24T11:12:09.718-03:00,11:12:09:129,2015-10-24
-58.47455,-34.573853,16.414904,2015-10-24T11:12:13.775-03:00,11:12:13:1213,2015-10-24
-58.474438,-34.573788,15.650913,2015-10-24T11:12:17.832-03:00,11:12:17:1217,2015-10-24
-58.47441,-34.57369,14.538846,2015-10-24T11:12:21.890-03:00,11:12:21:1221,2015-10-24
-58.474495,-34.573627,13.670239,2015-10-24T11:12:25.947-03:00,11:12:25:1225,2015-10-24
-58.474594,-34.573563,12.781218,2015-10-24T11:12:30.004-03:00,11:12:30:1230,2015-10-24
-58.4747,-34.573486,11.710036,2015-10-24T11:12:34.062-03:00,11:12:34:1234,2015-10-24
-58.4748,-34.57342,10.487326,2015-10-24T11:12:38.119-03:00,11:12:38:1238,2015-10-24
-58.47488,-34.573338,9.340749,2015-10-24T11:12:42.176-03:00,11:12:42:1242,2015-10-24
-58.474915,-34.573242,8.432775,2015-10-24T11:12:46.233-03:00,11:12:46:1246,2015-10-24
-58.474976,-34.57314,8.0766945,2015-10-24T11:12:50.291-03:00,11:12:50:1250,2015-10-24
-58.47507,-34.57307,8.546463,2015-10-24T11:12:54.348-03:00,11:12:54:1254,2015-10-24
-58.4752,-34.573074,9.031808,2015-10-24T11:12:58.405-03:00,11:12:58:1258,2015-10-24
-58.475323,-34.573116,9.528631,2015-10-24T11:13:02.463-03:00,11:13:02:132,2015-10-24
-58.47543,-34.573185,10.036932,2015-10-24T11:13:06.520-03:00,11:13:06:136,2015-10-24
-58.47553,-34.57324,10.484975,2015-10-24T11:13:10.577-03:00,11:13:10:1310,2015-10-24
-58.47563,-34.5733,10.956384,2015-10-24T11:13:14.634-03:00,11:13:14:1314,2015-10-24
-58.47573,-34.573357,11.420003,2015-10-24T11:13:18.692-03:00,11:13:18:1318,2015-10-24
-58.475838,-34.573414,11.902889,2015-10-24T11:13:22.749-03:00,11:13:22:1322,2015-10-24
-58.475872,-34.57351,12.341913,2015-10-24T11:13:26.806-03:00,11:13:26:1326,2015-10-24
-58.47582,-34.573605,12.82316,2015-10-24T11:13:30.864-03:00,11:13:30:1330,2015-10-24
-58.47575,-34.573692,13.298667,2015-10-24T11:13:34.921-03:00,11:13:34:1334,2015-10-24
-58.475677,-34.573772,13.759828,2015-10-24T11:13:38.978-03:00,11:13:38:1338,2015-10-24
-58.47561,-34.573853,15.163577,2015-10-24T11:13:43.035-03:00,11:13:43:1343,2015-10-24
-58.475517,-34.573925,15.999502,2015-10-24T11:13:47.093-03:00,11:13:47:1347,2015-10-24
-58.47544,-34.573994,16.22813,2015-10-24T11:13:51.150-03:00,11:13:51:1351,2015-10-24
-58.475353,-34.57407,16.312262,2015-10-24T11:13:55.207-03:00,11:13:55:1355,2015-10-24
-58.475277,-34.574146,16.395357,2015-10-24T11:13:59.264-03:00,11:13:59:1359,2015-10-24
-58.475163,-34.574173,16.477415,2015-10-24T11:14:03.322-03:00,11:14:03:143,2015-10-24
-58.47505,-34.574112,16.690617,2015-10-24T11:14:07.379-03:00,11:14:07:147,2015-10-24
-58.474937,-34.574055,16.070862,2015-10-24T11:14:11.436-03:00,11:14:11:1411,2015-10-24
-58.474823,-34.57399,15.438146,2015-10-24T11:14:15.494-03:00,11:14:15:1415,2015-10-24
-58.474724,-34.573936,14.893681,2015-10-24T11:14:19.551-03:00,11:14:19:1419,2015-10-24
-58.474613,-34.57389,14.343232,2015-10-24T11:14:23.608-03:00,11:14:23:1423,2015-10-24
-58.474518,-34.57382,13.735944,2015-10-24T11:14:27.665-03:00,11:14:27:1427,2015-10-24
-58.47446,-34.573727,13.168045,2015-10-24T11:14:31.723-03:00,11:14:31:1431,2015-10-24
-58.47449,-34.573627,12.611613,2015-10-24T11:14:35.780-03:00,11:14:35:1435,2015-10-24
-58.474594,-34.573566,12.012302,2015-10-24T11:14:39.837-03:00,11:14:39:1439,2015-10-24
-58.474697,-34.573498,11.41349,2015-10-24T11:14:43.895-03:00,11:14:43:1443,2015-10-24
-58.474773,-34.573425,9.69181,2015-10-24T11:14:47.952-03:00,11:14:47:1447,2015-10-24
-58.474827,-34.573322,7.9005322,2015-10-24T11:14:52.009-03:00,11:14:52:1452,2015-10-24
-58.474888,-34.573227,7.1822753,2015-10-24T11:14:56.066-03:00,11:14:56:1456,2015-10-24
-58.47496,-34.573154,7.5737853,2015-10-24T11:15:00.124-03:00,11:15:00:150,2015-10-24
-58.47504,-34.57307,8.012142,2015-10-24T11:15:04.181-03:00,11:15:04:154,2015-10-24
-58.475136,-34.573025,8.386549,2015-10-24T11:15:08.238-03:00,11:15:08:158,2015-10-24
-58.475254,-34.573048,8.802598,2015-10-24T11:15:12.296-03:00,11:15:12:1512,2015-10-24
-58.475365,-34.573112,9.260289,2015-10-24T11:15:16.353-03:00,11:15:16:1516,2015-10-24
-58.475452,-34.57318,9.680428,2015-10-24T11:15:20.410-03:00,11:15:20:1520,2015-10-24
