fecha,dayofweek,dormido,run,minutos-despierto,veces-despertado
2015-12-08,Tuesday,395,22:16,31,18
2015-12-09,Wednesday,438,0,21,13
2015-12-10,Thursday,298,0,37,24
2015-12-11,Friday,410,0,36,22
2015-12-12,Saturday,485,0,84,38
2015-12-13,Sunday,472,0,37,23
2015-12-14,Monday,469,0,53,27
2015-12-15,Tuesday,375,0,29,23
2015-12-16,Wednesday,516,0,68,37
2015-12-17,Thursday,386,0,48,23
2015-12-18,Friday,413,0,31,20
2015-12-19,Saturday,229,0,21,13
2015-12-21,Monday,315,0,46,18
2015-12-22,Tuesday,494,0,49,27
2015-12-23,Wednesday,444,0,61,32
2015-12-24,Thursday,500,0,79,40
2015-12-25,Friday,274,0,21,15
2015-12-26,Saturday,426,0,43,21
2015-12-29,Tuesday,342,0,34,16
2015-12-30,Wednesday,430,0,59,27
2015-12-31,Thursday,331,0,18,10
2016-01-01,Friday,191,0,31,13
2016-01-02,Saturday,518,0,32,26
2016-01-03,Sunday,437,0,26,12
2016-01-04,Monday,430,0,65,29
2016-01-05,Tuesday,501,0,40,15
2016-01-06,Wednesday,392,0,33,19
2016-01-07,Thursday,389,0,41,16
2016-01-08,Friday,318,0,47,22
2016-01-09,Saturday,181,0,9,4
2016-01-10,Sunday,439,0,39,27
2016-01-12,Tuesday,392,0,50,28
2016-01-13,Wednesday,412,0,36,21
2016-01-14,Thursday,458,0,30,19
2016-01-15,Friday,482,0,63,32
2016-01-16,Saturday,365,0,38,25
2016-01-17,Sunday,367,0,23,11
2016-01-18,Monday,448,0,49,25
2016-01-19,Tuesday,418,0,74,25
2016-01-20,Wednesday,405,0,45,23
2016-01-22,Friday,355,0,54,25
2016-01-23,Saturday,374,0,35,17
2016-01-24,Sunday,435,0,65,22
2016-01-25,Monday,407,0,55,25
2016-01-26,Tuesday,250,0,31,13
2016-01-27,Wednesday,501,0,59,34
2016-01-28,Thursday,421,0,41,26
2016-01-29,Friday,393,0,44,20
2016-01-30,Saturday,424,0,28,12
2016-01-31,Sunday,356,0,28,20
2016-03-01,Tuesday,360,0,53,27
2016-03-02,Wednesday,356,0,26,20
2016-03-03,Thursday,418,0,28,13
2016-03-04,Friday,384,0,31,19
2016-03-05,Saturday,278,0,15,10
2016-03-07,Monday,512,0,44,24
2016-03-08,Tuesday,430,0,52,31
2016-03-09,Wednesday,423,0,70,38
2016-03-10,Thursday,434,0,44,26
2016-03-11,Friday,391,0,37,21
2016-03-12,Saturday,429,0,50,28
2016-03-13,Sunday,519,21:26,48,23
2016-03-14,Monday,419,0,49,22
2016-03-15,Tuesday,383,0,45,18
2016-03-16,Wednesday,386,0,36,21
2016-03-17,Thursday,390,0,42,23
2016-03-18,Friday,380,0,43,24
2016-03-19,Saturday,414,24:23,61,30
2016-03-20,Sunday,391,0,53,22
2016-03-21,Monday,348,0,43,23
2016-03-22,Tuesday,382,0,46,26
2016-03-23,Wednesday,349,0,32,17
2016-03-24,Thursday,343,25:00,42,19
2016-03-25,Friday,355,0,34,17
2016-03-26,Saturday,431,25:57,35,19
2016-03-27,Sunday,389,0,48,24
2016-03-28,Monday,441,0,58,32
2016-03-29,Tuesday,332,0,31,15
2016-03-30,Wednesday,349,0,38,20
2016-03-31,Thursday,388,0,58,19
2016-02-01,Monday,278,0,40,20
2016-02-02,Tuesday,415,0,64,32
2016-02-03,Wednesday,552,0,37,17
2016-02-04,Thursday,392,0,29,18
2016-02-05,Friday,466,0,35,22
2016-02-06,Saturday,372,0,44,19
2016-02-07,Sunday,463,17:38,52,22
2016-02-08,Monday,478,0,61,30
2016-02-09,Tuesday,287,0,43,26
2016-02-10,Wednesday,395,0,22,15
2016-02-11,Thursday,399,0,29,20
2016-02-12,Friday,350,0,30,20
2016-02-13,Saturday,395,0,36,22
2016-02-14,Sunday,461,20:18,39,25
2016-02-15,Monday,359,0,32,19
2016-02-16,Tuesday,458,0,60,30
2016-02-17,Wednesday,390,0,36,22
2016-02-18,Thursday,436,0,28,16
2016-02-19,Friday,266,0,42,24
2016-02-20,Saturday,361,24:07,42,23
2016-02-21,Sunday,390,21:14,44,21
2016-02-22,Monday,360,0,22,21
2016-02-23,Tuesday,378,20:06,44,20
2016-02-24,Wednesday,492,0,30,14
2016-02-25,Thursday,366,25:58,62,29
2016-02-26,Friday,366,0,46,19
2016-02-27,Saturday,407,27:51,55,20
2016-02-28,Sunday,454,0,32,12
2016-02-29,Monday,332,0,41,21
